indicator,percentile,threshold,correlation_type,correlation_value,bull_return,bull_excess,bull_sharpe,bear_return,bear_excess,bear_sharpe,sideways_return,sideways_excess,sideways_sharpe,avg_excess,min_excess,max_rank_ic,max_pearson_ic
options_volume_put_call_ratio,10,0.4674740250869211,negative,-0.03871307968725928,0.004274823421322267,1.0118933628394433,0.032227053283763164,0.5017064870721419,0.3172823863254025,1.6110413738565639,0.24862902788795124,0.4889975988902632,1.4666730339697405,0.6060577826850363,0.3172823863254025,0.2341545155742571,0.20850351991155697
gini_capacity_distribution,80,0.9692620249996667,positive,0.15629366118484023,0.029055225521681025,1.036673764939802,0.26842650521482503,0.43057901079552774,0.24615491004878828,1.0805094661385184,0.276590006615052,0.516958577617364,1.4832626811283998,0.5999290842019848,0.24615491004878828,0.6589709528677978,0.5128421529401561
gini_capacity_distribution,70,0.9675267316114405,positive,0.15629366118484023,0.018442496749878346,1.0260610361679994,0.11581967878731537,0.35105435643721555,0.1666302556904761,0.7389830632669038,0.26760551905828417,0.5079740900605961,1.4336497727879827,0.5668884606396906,0.1666302556904761,0.6589709528677978,0.5128421529401561
gini_capacity_distribution,85,0.9697396611958766,positive,0.15629366118484023,0.01338153198405618,1.0210000714021772,0.15891298229365808,0.5427908111248937,0.35836671037815426,1.3917570276519864,0.0661249123166779,0.30649348331898985,1.3409460626056346,0.5619534216997738,0.30649348331898985,0.6589709528677978,0.5128421529401561
options_volume_put_call_ratio,5,0.40928119488376247,negative,-0.03871307968725928,0.00904778536722674,1.0166663247853478,0.08342293534832959,0.36798728636674083,0.18356318562000137,1.3899258335100146,0.1706239630864666,0.41099253408877856,1.3111720525930959,0.5370740148313758,0.18356318562000137,0.2341545155742571,0.20850351991155697
active_2y_3y,91,2856492.003001839,positive,0.05809437753491888,0.02474168756219295,1.0323602269803138,0.2831936236379747,0.22227179844347705,0.0378476976967376,0.8828878692624768,0.17673153499169805,0.41710010599401004,0.5069438539851409,0.4957693435570205,0.0378476976967376,0.5219137910935047,0.4258153806166293
active_2y_3y,95,3020444.656498868,positive,0.05809437753491888,0.021663141901626357,1.0292816813197474,0.5003275062487477,0.2448745591068664,0.06045045836012694,1.2466823293449085,0.1489454255586342,0.3893139965609461,0.4662864441381963,0.49301537874694007,0.06045045836012694,0.5219137910935047,0.4258153806166293
active_2y_3y,93,2953685.868978289,positive,0.05809437753491888,0.022725587689529675,1.0303441271076506,0.2661111709468279,0.18953500134569234,0.005110900598952889,0.8518117383382,0.19572184009773258,0.43609041110004454,0.5633021203889096,0.49051514626888265,0.005110900598952889,0.5219137910935047,0.4258153806166293
node_connectivity,50,4212.0,negative,-0.12327712952742294,0.0099431133884895,1.0175616528066105,0.04546849463582764,0.2678709532316207,0.08344685248488123,0.5080467208418488,0.12799896241215766,0.3683675334144696,0.5623804866395455,0.4897920129019871,0.08344685248488123,0.38698062312983583,0.34087701744541593
balance_wbtc,9,549.65357276,negative,-0.09795717679472137,0.020539457012760956,1.028157996430882,0.38777628041814277,0.2458059534039385,0.06138185265719903,0.7876067830708654,0.11618279410659366,0.3565513651089056,0.9606897721405994,0.4820304047323289,0.06138185265719903,0.5660290479659089,0.5663201287172595
gini_capacity_distribution,50,0.9614185489611106,positive,0.15629366118484023,0.006223000967993548,1.0138415403861145,0.02844543587755901,0.2678709532316207,0.08344685248488123,0.5080467208418488,0.1071573043872982,0.34752587538961016,0.4695043873048213,0.48160475608686865,0.08344685248488123,0.6589709528677978,0.5128421529401561
balance_wbtc,10,563.3309954,negative,-0.09795717679472137,0.01771834837167115,1.0253368877897922,0.25308183188170114,0.24404152242804328,0.05961742168130382,0.73941490072239,0.11618279410659366,0.3565513651089056,0.9606897721405994,0.4805018915266672,0.05961742168130382,0.5660290479659089,0.5663201287172595
btc_sharpe_signal,70,0.580284490897147,positive,0.12748549404516896,0.04809638090774861,1.0557149203258696,0.19570049369279754,0.3020002580613134,0.11757615731457396,0.6686927202144226,0.010290321502812876,0.25065889250512485,0.023207874944317985,0.47464999004852276,0.11757615731457396,0.2517641980863953,0.3835411195891439
active_2y_3y,94,2984305.870676692,positive,0.05809437753491888,0.003720162088332495,1.0113387015064534,0.05858440917438135,0.23761462461056826,0.053190523863828804,1.1658005272314833,0.11651547852535443,0.3568840495276664,0.34019353075744463,0.4738044249659829,0.053190523863828804,0.5219137910935047,0.4258153806166293
options_25delta_skew_1_week,20,-0.033117767980335416,negative,-0.023834415850776756,0.008674328691561515,1.0162928681096826,0.04358710812281808,0.22813686820070628,0.04371276745396682,0.5313280418899494,0.1091160700086585,0.34948464101097043,0.3492386161533294,0.4698300921915399,0.04371276745396682,0.251456088472215,0.2558842783556254
options_volume_put_call_ratio,3,0.37707492579788143,negative,-0.03871307968725928,0.03223343425344598,1.039851973671567,0.4109509004652525,0.2611831912059304,0.07675909045919097,1.0385063080970278,0.02861514486432575,0.2689837158666377,0.7710391612767656,0.4618649266657986,0.07675909045919097,0.2341545155742571,0.20850351991155697
network_capacity_sum,80,4991.79116769,positive,0.005875246701790462,0.03209724247969904,1.03971578189782,0.3250040646539263,0.23054535981492405,0.046121259068184595,0.7322236844337252,0.02592976951772228,0.26629834052003426,0.060549175316456406,0.4507117938286796,0.046121259068184595,0.20947799876651954,0.0981534073191179
options_25delta_skew_1_week,8,-0.07471740445468987,negative,-0.023834415850776756,0.04096502482288666,1.0485835642410075,0.30043711156559866,0.20406028757449823,0.019636186827758778,0.6864274497368513,0.026156838826839862,0.26652540982915185,0.13746440976455798,0.4449150536326394,0.019636186827758778,0.251456088472215,0.2558842783556254
highly_liquid_sum,9,2414417.151095311,negative,-0.11676878208217623,0.003981236723973386,1.0115997761420943,0.048804490111018416,0.20019584598825577,0.01577174524151631,0.6872824669337206,0.006390859093579415,0.24675943009589138,0.04803425796961228,0.4247103171598339,0.01577174524151631,0.3578006626575079,0.5049774349619558
